Entity,Code,Year,"Median (Disposable household income, equivalized)"
Australia,AUS,1981,21880.08
Australia,AUS,1985,21807.39
Australia,AUS,1989,22009.95
Australia,AUS,1995,20206.26
Australia,AUS,2001,22712.27
Australia,AUS,2003,22958.89
Australia,AUS,2004,25408.73
Australia,AUS,2008,31256.07
Australia,AUS,2010,31053.91
Australia,AUS,2014,33399.6
Australia,AUS,2016,32955.23
Australia,AUS,2018,33330.09
Austria,AUT,1994,28635.5
Austria,AUT,1995,28205.6
Austria,AUT,1996,27636.02
Austria,AUT,1997,27511.97
Austria,AUT,1998,27653.6
Austria,AUT,1999,28590.88
Austria,AUT,2000,28213.49
Austria,AUT,2003,29942.54
Austria,AUT,2004,30868
Austria,AUT,2005,29877.08
Austria,AUT,2006,30047.12
Austria,AUT,2007,31510.04
Austria,AUT,2008,32193.61
Austria,AUT,2009,32937.19
Austria,AUT,2010,32718.44
Austria,AUT,2011,32325.13
Austria,AUT,2012,32010.74
Austria,AUT,2013,32329.12
Austria,AUT,2014,32400.65
Austria,AUT,2015,32296.66
Austria,AUT,2016,33703.86
Austria,AUT,2017,33359.19
Austria,AUT,2018,33224.44
Austria,AUT,2019,34097.46
Austria,AUT,2020,34270.83
Belgium,BEL,1985,20182.96
Belgium,BEL,1988,21050.98
Belgium,BEL,1992,22356.89
Belgium,BEL,1995,25644.63
Belgium,BEL,1997,25117.99
Belgium,BEL,2000,27002.68
Belgium,BEL,2003,26485.47
Belgium,BEL,2004,27264.25
Belgium,BEL,2005,27754.83
Belgium,BEL,2006,28605.93
Belgium,BEL,2007,28886.88
Belgium,BEL,2008,29456.11
Belgium,BEL,2009,29770.75
Belgium,BEL,2010,29792.31
Belgium,BEL,2011,29061.52
Belgium,BEL,2012,30222.4
Belgium,BEL,2013,29794.61
Belgium,BEL,2014,29732.71
Belgium,BEL,2015,30580.35
Belgium,BEL,2016,30325.01
Belgium,BEL,2017,30880.95
Brazil,BRA,2006,5294.39
Brazil,BRA,2009,6207.13
Brazil,BRA,2011,6736.49
Brazil,BRA,2013,7532.79
Brazil,BRA,2016,6938.96
Canada,CAN,1971,18806.61
Canada,CAN,1973,21081.82
Canada,CAN,1975,23233.79
Canada,CAN,1977,24665.85
Canada,CAN,1979,24950.13
Canada,CAN,1981,25531.9
Canada,CAN,1982,24954.85
Canada,CAN,1984,24624.46
Canada,CAN,1985,25111.53
Canada,CAN,1986,26071.51
Canada,CAN,1987,26397.56
Canada,CAN,1988,27043.63
Canada,CAN,1989,27496.57
Canada,CAN,1990,27185.3
Canada,CAN,1991,25954.81
Canada,CAN,1992,26259.51
Canada,CAN,1993,25657.81
Canada,CAN,1994,26079.27
Canada,CAN,1995,25922.12
Canada,CAN,1996,24545.71
Canada,CAN,1997,24733.62
Canada,CAN,1998,25571.43
Canada,CAN,1999,26123.24
Canada,CAN,2000,26563.62
Canada,CAN,2001,27599.17
Canada,CAN,2002,27891.22
Canada,CAN,2003,27882.99
Canada,CAN,2004,28245.96
Canada,CAN,2005,29159.69
Canada,CAN,2006,29463.78
Canada,CAN,2007,30645.34
Canada,CAN,2008,31165.42
